x,y1,y2
0.944,-0.23708,0.21935
0.945,-0.238367,0.218624
0.946,-0.23965,0.217896
0.947,-0.240929,0.217163
0.948,-0.242204,0.216428
0.949,-0.243476,0.215689
0.95,-0.244743,0.214948
0.951,-0.246007,0.214203
0.952,-0.247266,0.213455
0.953,-0.248522,0.212704
0.954,-0.249774,0.211949
0.955,-0.251022,0.211192
0.956,-0.252265,0.210431
0.957,-0.253505,0.209667
0.958,-0.254741,0.208901
0.959,-0.255972,0.208131
0.96,-0.257199,0.207358
0.961,-0.258423,0.206582
0.962,-0.259642,0.205802
0.963,-0.260857,0.20502
0.964,-0.262068,0.204235
0.965,-0.263275,0.203447
0.966,-0.264477,0.202655
0.967,-0.265675,0.201861
0.968,-0.266869,0.201064
0.969,-0.268059,0.200263
0.97,-0.269244,0.19946
0.971,-0.270425,0.198654
0.972,-0.271602,0.197845
0.973,-0.272775,0.197032
0.974,-0.273943,0.196217
0.975,-0.275106,0.195399
0.976,-0.276266,0.194578
0.977,-0.277421,0.193754
0.978,-0.278571,0.192928
0.979,-0.279717,0.192098
0.98,-0.280859,0.191266
0.981,-0.281996,0.19043
0.982,-0.283128,0.189592
0.983,-0.284256,0.188751
