Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3
,
Point Format,Y
Horizontal Units,S
Horizontal Scale,0.004
Sample Interval,3.20E-06
Filter Frequency,2.00E+08
Record Length,20000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1.5
Label,
TIME,CH1
-2.89E-02,0.015
-2.89E-02,-0.045
-2.89E-02,0.015
-2.89E-02,0.015
-2.89E-02,-0.045
-2.89E-02,-0.045
-2.89E-02,-0.045
-2.89E-02,-0.045
-2.89E-02,-0.045
-2.89E-02,0.015
-2.89E-02,-0.045
-2.89E-02,-0.045
-2.89E-02,-0.045
-2.89E-02,-0.045
-2.89E-02,-0.045
-2.89E-02,-0.045
-2.89E-02,-0.045
-2.89E-02,-0.045
-2.89E-02,-0.045
-2.89E-02,-0.045
-2.89E-02,0.015
-2.88E-02,-0.045
-2.88E-02,0.015
-2.88E-02,-0.045
-2.88E-02,0.015
-2.88E-02,0.015
-2.88E-02,0.015
-2.88E-02,-0.045
-2.88E-02,0.015
-2.88E-02,0.015
-2.88E-02,-0.045
-2.88E-02,0.015
-2.88E-02,0.015
-2.88E-02,0.375
-2.88E-02,1.335
-2.88E-02,2.295
-2.88E-02,3.435
-2.88E-02,4.455
-2.88E-02,5.055
-2.88E-02,5.055
-2.88E-02,5.055
-2.88E-02,5.055
-2.88E-02,5.055
-2.88E-02,5.055
-2.88E-02,5.055
-2.88E-02,5.055
-2.88E-02,5.055
-2.88E-02,5.055
-2.88E-02,5.055
-2.88E-02,5.055
-2.88E-02,5.055
-2.88E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,5.055
-2.87E-02,4.275
-2.86E-02,3.255
-2.86E-02,2.295
-2.86E-02,1.155
